SchoolYear,IsdCode,IsdName,DistrictCode,DistrictName,BuildingCode,BuildingName,CountyCode,CountyName,EntityType,SchoolLevel,Locale,MISTEM_NAME,MISTEM_CODE,Grade,Subject,TestingGroup,NumberAboveAverageGrowth,NumberAverageGrowth,NumberBelowAverageGrowth,PercentAboveAverage,PercentAverageGrowth,PercentBelowAverage,TotalIncluded,MeanSGP
"23 - 24 School Year","11","Berrien RESA","00000","All Districts","00000","All Buildings","11","Berrien","ISD","Elem thru High School","Town: Fringe","Southwest Region","1","05","Mathematics","Students with Disabilities","54","81","85","24.50","36.80","38.60","220","44.60"
"23 - 24 School Year","11","Berrien RESA","00000","All Districts","00000","All Buildings","11","Berrien","ISD","Elem thru High School","Town: Fringe","Southwest Region","1","05","English Language Arts","Students with Disabilities","43","88","78","20.60","42.10","37.30","209","43.80"
"23 - 24 School Year","11","Berrien RESA","00000","All Districts","00000","All Buildings","11","Berrien","ISD","Elem thru High School","Town: Fringe","Southwest Region","1","04","Mathematics","Students with Disabilities","72","115","86","26.40","42.10","31.50","273","49.10"
"23 - 24 School Year","11","Berrien RESA","00000","All Districts","00000","All Buildings","11","Berrien","ISD","Elem thru High School","Town: Fringe","Southwest Region","1","04","English Language Arts","Students with Disabilities","54","111","106","19.90","41.00","39.10","271","42.50"
"23 - 24 School Year","11","Berrien RESA","00000","All Districts","00000","All Buildings","11","Berrien","ISD","Elem thru High School","Town: Fringe","Southwest Region","1","11","Mathematics","Students with Disabilities","< 10","34","59","7.00","34.00","59.00","100","29.40"
"23 - 24 School Year","11","Berrien RESA","00000","All Districts","00000","All Buildings","11","Berrien","ISD","Elem thru High School","Town: Fringe","Southwest Region","1","11","English Language Arts","Students with Disabilities","12","32","56","12.00","32.00","56.00","100","32.10"
"23 - 24 School Year","11","Berrien RESA","00000","All Districts","00000","All Buildings","11","Berrien","ISD","Elem thru High School","Town: Fringe","Southwest Region","1","08","Mathematics","Students with Disabilities","36","59","69","22.00","36.00","42.10","164","42.20"
"23 - 24 School Year","11","Berrien RESA","00000","All Districts","00000","All Buildings","11","Berrien","ISD","Elem thru High School","Town: Fringe","Southwest Region","1","08","English Language Arts","Students with Disabilities","24","54","84","14.80","33.30","51.90","162","37.00"
"23 - 24 School Year","11","Berrien RESA","00000","All Districts","00000","All Buildings","11","Berrien","ISD","Elem thru High School","Town: Fringe","Southwest Region","1","07","Mathematics","Students with Disabilities","27","77","78","14.80","42.30","42.90","182","40.90"
"23 - 24 School Year","11","Berrien RESA","00000","All Districts","00000","All Buildings","11","Berrien","ISD","Elem thru High School","Town: Fringe","Southwest Region","1","07","English Language Arts","Students with Disabilities","49","59","75","26.80","32.20","41.00","183","45.70"
